x_i,f[x_i],f[x_i...x_1],f[x_i...x_2],f[x_i...x_3],f[x_i...x_4],f[x_i...x_5],f[x_i...x_6],f[x_i...x_7],f[x_i...x_8],f[x_i...x_9],f[x_i...x_10]
0.25,18.414,4.94,-58.2667,7170.6667,-110072.0,905928.8889,-1172726.5787,1204991.6288,-1026632.4318,747152.5064,-474613.2228
0.3,18.908,-3.8,1375.8667,-20347.3333,161706.6667,-208161.3609,213013.7944,-180962.1542,131453.9531,-83420.6335,
0.35,18.528,202.58,-2693.6,20079.3333,-25638.5581,26153.813,-22237.0061,16218.7755,-10361.1238,,
0.4,38.786,-201.46,1322.2667,-1713.4411,1822.9455,-1642.4446,1280.2184,-877.0788,,,
0.45,18.64,-3.12,-48.4862,109.5045,-147.988,149.8612,-123.1078,,,,
0.5,18.328,-39.4846,55.543,-60.6817,54.3246,-40.9559,,,,,
0.55,-9.3112,10.5041,-11.2069,9.9402,-7.1092,,,,,,
1.2,-0.3828,-1.2631,1.2184,-0.3681,,,,,,,
1.4,-0.888,-0.532,0.924,,,,,,,,
1.6,-1.1008,0.0224,,,,,,,,,
1.8,-1.0919,,,,,,,,,,
2.0,1.0909,,,,,,,,,,
