DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
14.09.2018;10:01;107290;107770;107290;107720;137
14.09.2018;10:02;107760;107800;107690;107800;141
14.09.2018;10:03;107780;107780;107610;107610;47
14.09.2018;10:04;107600;107670;107570;107650;103
14.09.2018;10:05;107650;107650;107490;107570;31
14.09.2018;10:06;107600;107600;107550;107570;13
14.09.2018;10:07;107600;107660;107600;107600;26
14.09.2018;10:08;107620;107670;107620;107670;40
14.09.2018;10:09;107640;107690;107640;107690;6
14.09.2018;10:10;107650;107650;107650;107650;2
14.09.2018;10:11;107660;107660;107610;107640;6
14.09.2018;10:12;107650;107650;107650;107650;5
14.09.2018;10:13;107660;107710;107660;107710;7
14.09.2018;10:14;107750;107850;107740;107850;61
14.09.2018;10:15;107880;107900;107850;107880;38
14.09.2018;10:16;107900;107910;107790;107860;81
14.09.2018;10:17;107880;107910;107870;107910;92
14.09.2018;10:18;107920;107990;107920;107950;136
14.09.2018;10:19;107930;107930;107780;107850;67
14.09.2018;10:20;107870;107890;107810;107820;30
14.09.2018;10:21;107890;107890;107840;107840;2
14.09.2018;10:22;107820;107820;107800;107800;15
14.09.2018;10:23;107780;107820;107780;107820;112
14.09.2018;10:24;107810;107810;107740;107740;28
14.09.2018;10:25;107720;107720;107560;107560;69
14.09.2018;10:26;107620;107690;107580;107680;27
14.09.2018;10:27;107690;107750;107690;107750;13
14.09.2018;10:28;107810;107880;107810;107880;5
14.09.2018;10:29;107870;107940;107820;107940;87
14.09.2018;10:30;107900;107900;107840;107850;8
14.09.2018;10:31;107840;107840;107780;107780;36
14.09.2018;10:32;107800;107830;107790;107830;23
14.09.2018;10:33;107820;107900;107820;107900;20
14.09.2018;10:34;107870;107870;107870;107870;3
14.09.2018;10:35;107880;107940;107880;107940;13
14.09.2018;10:36;107930;108020;107920;108020;53
14.09.2018;10:37;108000;108000;107910;107920;91
14.09.2018;10:38;107890;107960;107880;107960;23
14.09.2018;10:39;108000;108090;108000;108020;44
14.09.2018;10:40;108060;108260;108060;108160;110
14.09.2018;10:41;108190;108230;108170;108190;9
14.09.2018;10:42;108160;108190;108130;108190;174
14.09.2018;10:43;108150;108150;108080;108100;42
14.09.2018;10:44;108070;108100;108040;108100;71
14.09.2018;10:45;108100;108100;108030;108030;31
14.09.2018;10:46;108020;108040;107860;108000;158
14.09.2018;10:47;107980;108010;107980;108010;2
14.09.2018;10:48;108010;108010;108010;108010;2
14.09.2018;10:49;107990;107990;107900;107940;40
14.09.2018;10:50;107930;107940;107930;107930;3
14.09.2018;10:51;107970;107970;107960;107960;5
14.09.2018;10:52;107950;107950;107810;107810;43
14.09.2018;10:53;107820;107840;107820;107830;21
14.09.2018;10:54;107830;107840;107830;107830;6
14.09.2018;10:55;107790;107790;107740;107780;27
14.09.2018;10:56;107770;107800;107740;107800;21
14.09.2018;10:57;107840;107900;107840;107900;28
14.09.2018;10:58;107950;107950;107930;107930;4
14.09.2018;10:59;107910;107910;107860;107870;7
14.09.2018;11:00;107860;107860;107860;107860;1
14.09.2018;11:01;107820;107840;107750;107780;98
