i,x,y
1,1.000000,132.000000
2,2.000000,24.000000
3,2.000000,32.000000
4,4.000000,69.000000
5,4.000000,18.000000
6,4.000000,40.000000
7,6.000000,53.000000
8,6.000000,84.000000
9,8.000000,35.000000
10,8.000000,62.000000
11,8.000000,60.000000
12,8.000000,32.000000
13,8.000000,20.000000
14,8.000000,26.000000
15,8.000000,34.000000
16,8.000000,11.000000
17,8.000000,100.000000
18,8.000000,50.000000
19,8.000000,71.000000
20,8.000000,22.000000
21,8.000000,6.000000
22,8.000000,22.000000
23,12.000000,45.000000
24,16.000000,71.000000
25,16.000000,60.000000
26,16.000000,138.000000
27,16.000000,66.000000
28,16.000000,58.000000
29,16.000000,45.000000
30,24.000000,80.000000
31,24.000000,65.000000
32,24.000000,114.000000
33,30.000000,32.000000
34,32.000000,133.000000
35,32.000000,134.000000
36,32.000000,220.000000
37,32.000000,66.000000
38,32.000000,189.000000
39,32.000000,109.000000
40,32.000000,116.000000
41,32.000000,51.000000
42,32.000000,70.000000
43,32.000000,46.000000
44,48.000000,136.000000
45,64.000000,636.000000
46,64.000000,74.000000
47,64.000000,93.000000
48,64.000000,100.000000
49,64.000000,277.000000
50,64.000000,188.000000
51,64.000000,489.000000
52,64.000000,144.000000
53,65.000000,92.000000
54,96.000000,915.000000
55,112.000000,307.000000
56,128.000000,405.000000
57,128.000000,510.000000
58,131.000000,274.000000
59,160.000000,140.000000
60,256.000000,198.000000
