1;00.743;;;;;;;;;;;;;;;;;;;;
6;01.064;;????? ?????????;??????;?????;t;n;w;n/N;p;P;????;1,463;;;;;;;;
;01.065;;1;0,743;0,803;0,773;1;0,007;0,111;0,423;0,111;???;0,743;;;;;;;;
6;01.100;;2;0,803;0,863;0,833;0;0,000;0,000;0,444;0,111;??????;0,72;;;;;;;;
;01.167;;3;0,863;0,923;0,893;0;0,000;0,000;0,464;0,111;??? ??? ??????????;12;;;;;;;;
;01.168;;4;0,923;0,983;0,953;0;0,000;0,000;0,481;0,111;????? ?????????;0,06;;;;;;;;
;01.168;;5;0,983;1,043;1,013;0;0,000;0,000;0,496;0,111;;;;;;;;;;
;01.170;;6;1,043;1,103;1,073;3;0,020;0,333;0,508;0,444;;;;;;;;;;
;01.173;;7;1,103;1,163;1,133;0;0,000;0,000;0,518;0,444;;;;;;;;;;
;01.200;;8;1,163;1,223;1,193;18;0,120;2,000;0,524;2,444;;;;;;;;;;
;01.202;;9;1,223;1,283;1,253;72;0,480;8,000;0,527;10,444;;;;;;;;;;
;01.203;;10;1,283;1,343;1,313;28;0,187;3,111;0,526;13,556;;;;;;;;;;
;01.203;;11;1,343;1,403;1,373;23;0,153;2,556;0,523;16,111;;;;;;;;;;
;01.204;;12;1,403;1,463;1,433;5;0,033;0,556;0,516;16,667;;;;;;;;;;
;01.204;;;;;;150;1;;;;;;;;;;;;; 
;01.204;;;;;;;;;;;;;;;;;;;;
;01.205;;;;;;;;;;;;;;;;;;;;
;01.205;;;;;;;;;;;;;;;;;;;;
;01.206;;;;;;;;;;;;;;;;;;;;
;01.206;;;;;;;;;;;;;;;;;;;;
;01.212;;;;;;;;;;;;;;;;;;;;
;01.218;;;;;;;;;;;;;;;;;;;;
;01.237;;;;;;;;;;;;;;;;;;;;
;01.237;;;;;;;;;;;;;;;;;;;;
;01.237;;;;;;;;;;;;;;;;;;;;
;01.238;;;;;;;;;;;;;;;;;;;;
;01.238;;;;;;;;;;;;;;;;;;;;
;01.239;;;;;;;;;;;;;;;;;;;;
;01.239;;;;;;;;;;;;;;;;;;;;
;01.239;;;;;;;;;;;;;;;;;;;;
;01.239;;;;;;;;;;;;;;;;;;;;
;01.240;;;;;;;;;;;;;;;;;;;;
;01.240;;;;;;;;;;;;;;;;;;;;
;01.240;;;;;;;;;;;;;;;;;;;;
;01.240;;;;;;;;;;;;;;;;;;;;
;01.240;;;;;;;;;;;;;;;;;;;;
;01.241;;;;;;;;;;;;;;;;;;;;
;01.241;;;;;;;;;;;;;;;;;;;;
;01.242;;;;;;;;;;;;;;;;;;;;
;01.242;;;;;;;;;;;;;;;;;;;;
;01.242;;;;;;;;;;;;;;;;;;;;
;01.242;;;;;;;;;;;;;;;;;;;;
;01.243;;;;;;;;;;;;;;;;;;;;
;01.244;;;;;;;;;;;;;;;;;;;;
;01.245;;;;;;;;;;;;;;;;;;;;
;01.248;;;;;;;;;;;;;;;;;;;;
;01.248;;;;;;;;;;;;;;;;;;;;
;01.273;;;;;;;;;;;;;;;;;;;;
;01.273;;;;;;;;;;;;;;;;;;;;
;01.273;;;;;;;;;;;;;;;;;;;;
;01.273;;;;;;;;;;;;;;;;;;;;
;01.273;;;;;;;;;;;;;;;;;;;;
;01.273;;;;;;;;;;;;;;;;;;;;
;01.273;;;;;;;;;;;;;;;;;;;;
;01.273;;;;;;;;;;;;;;;;;;;;
;01.274;;;;;;;;;;;;;;;;;;;;
;01.274;;;;;;;;;;;;;;;;;;;;
;01.274;;;;;;;;;;;;;;;;;;;;
;01.274;;;;;;;;;;;;;;;;;;;;
;01.274;;;;;;;;;;;;;;;;;;;;
;01.274;;;;;;;;;;;;;;;;;;;;
